ID,Stopping Probability,Digital Literacy Level,Uses Digital Services
0,0.4,0.79,FALSE
1,0.05,0.79,TRUE
2,0.1,0.5,TRUE
3,0.1,0.27,TRUE
4,0.1,0.82,TRUE
5,0.4,0.6,TRUE
6,0.24,0.42,TRUE
7,0.24,0.52,FALSE
8,0.24,0.48,TRUE
9,0.4,0.1,FALSE
10,0.05,0.7,FALSE
11,0.24,0.25,TRUE
12,0.1,0.81,TRUE
13,0.4,0.36,TRUE
14,0.1,0.58,TRUE
15,0.4,0.47,FALSE
16,0.4,0.15,FALSE
17,0.4,0.25,TRUE
18,0.4,0.87,TRUE
19,0.05,0.68,TRUE
20,0.4,0.58,FALSE
21,0.24,0.1,FALSE
22,0.4,0.36,TRUE
23,0.05,0.16,TRUE
24,0.1,0.24,FALSE
25,0.1,0.39,FALSE
26,0.1,0.53,FALSE
27,0.24,0.6,TRUE
28,0.4,0.88,TRUE
29,0.4,0.57,FALSE
30,0.24,0.4,TRUE
31,0.4,0.55,TRUE
32,0.1,0.93,TRUE
33,0.4,0.46,TRUE
34,0.1,0.75,FALSE
35,0.1,0.8,FALSE
36,0.1,0.21,FALSE
37,0.4,0.79,FALSE
38,0.4,0.24,FALSE
39,0.4,0.96,FALSE
40,0.4,0.72,FALSE
41,0.05,0.48,FALSE
42,0.1,0.8,TRUE
43,0.24,0.64,FALSE
44,0.4,0.66,FALSE
45,0.1,0.33,TRUE
46,0.05,0.68,FALSE
47,0.24,0.95,FALSE
48,0.05,0.25,FALSE
49,0.4,0.23,TRUE
50,0.1,0.47,TRUE
51,0.1,0.6,TRUE
52,0.4,0.81,TRUE
53,0.05,0.4,FALSE
54,0.24,0.72,TRUE
55,0.05,0.68,FALSE
56,0.05,0.93,FALSE
57,0.24,0.82,TRUE
58,0.1,0.59,TRUE
59,0.05,0.3,FALSE
60,0.1,0.1,TRUE
61,0.1,0.48,FALSE
62,0.05,0.43,FALSE
63,0.4,0.36,TRUE
64,0.1,0.1,FALSE
65,0.1,0.4,FALSE
66,0.24,0.78,TRUE
67,0.24,0.65,TRUE
68,0.1,0,TRUE
69,0.1,0,FALSE
70,0.05,0.1,TRUE
71,0.4,0.31,FALSE
72,0.1,0.15,FALSE
73,0.1,0.99,FALSE
74,0.05,0.88,FALSE
75,0.4,0.7,FALSE
76,0.24,0.92,FALSE
77,0.4,0.5,TRUE
78,0.1,0.29,TRUE
79,0.4,0.99,TRUE
80,0.24,0.28,FALSE
81,0.05,0.56,FALSE
82,0.4,0.57,TRUE
83,0.4,0.2,FALSE
84,0.4,0.76,FALSE
85,0.05,0.38,TRUE
86,0.24,0.6,TRUE
87,0.24,0.43,TRUE
88,0.24,0.46,FALSE
89,0.1,0.88,TRUE
90,0.05,0.64,TRUE
91,0.05,0.93,FALSE
92,0.05,0.99,FALSE
93,0.05,0.49,TRUE
94,0.05,0.7,TRUE
95,0.1,0.22,FALSE
96,0.4,0.19,FALSE
97,0.4,0.91,FALSE
98,0.4,0.28,FALSE
99,0.05,0.93,FALSE
